model,classifier,fs_config,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN,accuracy_ci_low,accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,f1_ci_low,f1_ci_high,auc_ci_low,auc_ci_high
DenseNet121,SVM_linear_C0.1,ANOVA100_PCA10,0.7250,0.3448,0.9412,0.4762,0.7113,10,48,3,19,0.6365,0.8135,0.1428,0.5372,0.8413,1.0000,0.2295,0.6914,0.5382,0.9199
DenseNet121,SVM_linear_C0.1,ANOVA200_PCA10,0.7250,0.3103,0.9608,0.4500,0.6937,9,49,2,20,0.6556,0.7944,0.2326,0.3807,0.8627,1.0000,0.3112,0.5888,0.5444,0.8731
DenseNet121,SVM_linear_C1,PCA5,0.7250,0.3103,0.9608,0.4500,0.6829,9,49,2,20,0.6365,0.8135,0.0000,0.6069,0.8968,1.0000,0.0625,0.7427,0.6216,0.7729
DenseNet121,SVM_linear_C1,ANOVA200_PCA5,0.7250,0.2759,0.9804,0.4211,0.7025,8,50,1,21,0.5951,0.8549,0.0000,0.6130,0.9313,1.0000,0.0000,0.7955,0.4867,0.8739
ResNet50,LogReg_C10,ANOVA200_PCA5,0.7125,0.6897,0.7255,0.6349,0.7329,20,37,14,9,0.5612,0.8638,0.5293,0.8573,0.5642,0.8868,0.4695,0.8103,0.5896,0.8662
ResNet50,LogReg_C10,ANOVA100_PCA5,0.7125,0.6552,0.7451,0.6230,0.7343,19,38,13,10,0.5516,0.8734,0.4628,0.8572,0.5685,0.9260,0.4201,0.8358,0.5930,0.8718
DenseNet121,LogReg_C1,ANOVA200_PCA5,0.7125,0.5862,0.7843,0.5965,0.7437,17,40,11,12,0.6084,0.8166,0.2836,0.8764,0.6888,0.8821,0.3626,0.7909,0.6472,0.8679
DenseNet121,LogReg_C1,ANOVA100_PCA5,0.7125,0.5862,0.7843,0.5965,0.7255,17,40,11,12,0.6084,0.8166,0.2836,0.8764,0.6888,0.8821,0.3626,0.7909,0.5924,0.8628
DenseNet121,LogReg_C10,ANOVA20,0.7125,0.5517,0.8039,0.5818,0.7539,16,41,10,13,0.6084,0.8166,0.2826,0.8241,0.7153,0.8920,0.3679,0.7688,0.6508,0.9123
DenseNet121,GBM_200,ANOVA10,0.7125,0.5517,0.8039,0.5818,0.7120,16,41,10,13,0.5715,0.8535,0.2939,0.7994,0.6071,1.0000,0.3587,0.7912,0.4923,0.8835
DenseNet121,GBM_100,ANOVA20,0.7125,0.5172,0.8235,0.5660,0.7208,15,42,9,14,0.6700,0.7550,0.1973,0.8294,0.6400,1.0000,0.3275,0.7379,0.5933,0.8710
DenseNet121,SVM_C0.1,ANOVA100_PCA5,0.7125,0.5172,0.8235,0.5660,0.7059,15,42,9,14,0.5826,0.8424,0.1923,0.8211,0.6400,1.0000,0.2721,0.8146,0.6268,0.8829
DenseNet121,SVM_C0.1,ANOVA200_PCA5,0.7125,0.5172,0.8235,0.5660,0.7011,15,42,9,14,0.5826,0.8424,0.1923,0.8211,0.6400,1.0000,0.2721,0.8146,0.6169,0.8855
DenseNet121,AdaBoost_100,ANOVA20,0.7125,0.5172,0.8235,0.5660,0.6924,15,42,9,14,0.6700,0.7550,0.3246,0.7021,0.7206,0.9267,0.4261,0.6823,0.5932,0.8087
DenseNet121,SVM_C0.1,ANOVA20,0.7125,0.4828,0.8431,0.5490,0.7512,14,43,8,15,0.6700,0.7550,0.3235,0.6365,0.7347,0.9526,0.4313,0.6504,0.7180,0.8541
DenseNet121,LDA,ANOVA200_PCA5,0.7125,0.4828,0.8431,0.5490,0.7505,14,43,8,15,0.6240,0.8010,0.2205,0.7395,0.7347,0.9526,0.3534,0.7102,0.6246,0.8785
DenseNet121,LogReg_C0.1,ANOVA20,0.7125,0.4828,0.8431,0.5490,0.7336,14,43,8,15,0.6240,0.8010,0.2657,0.6943,0.7791,0.9082,0.3514,0.7217,0.5536,0.9016
ResNet50,GBM_100,PCA10,0.7125,0.4828,0.8431,0.5490,0.7262,14,43,8,15,0.5948,0.8302,0.2478,0.7255,0.7791,0.9082,0.3040,0.7740,0.5981,0.8316
DenseNet121,SVM_C0.1,PCA5,0.7125,0.4828,0.8431,0.5490,0.7214,14,43,8,15,0.5826,0.8424,0.1443,0.8024,0.6370,1.0000,0.2545,0.7922,0.6347,0.9011
DenseNet121,LogReg_C0.1,ANOVA200_PCA10,0.7125,0.4828,0.8431,0.5490,0.6971,14,43,8,15,0.5516,0.8734,0.1481,0.8119,0.7347,0.9526,0.2170,0.8305,0.5439,0.8524
DenseNet121,LDA,PCA10,0.7125,0.4483,0.8627,0.5306,0.7147,13,44,7,16,0.5948,0.8302,0.1032,0.7768,0.7560,0.9713,0.2003,0.7922,0.5142,0.8700
DenseNet121,SVM_C0.1,ANOVA200_PCA10,0.7125,0.4483,0.8627,0.5306,0.6836,13,44,7,16,0.6240,0.8010,0.1367,0.7433,0.6577,1.0000,0.2896,0.7215,0.6200,0.8775
DenseNet121,LDA,ANOVA200_PCA10,0.7125,0.4138,0.8824,0.5106,0.6944,12,45,6,17,0.6700,0.7550,0.1818,0.6449,0.7514,1.0000,0.3149,0.6620,0.5509,0.8000
ResNet50,SVM_linear_C0.1,ANOVA10,0.7125,0.4138,0.8824,0.5106,0.6809,12,45,6,17,0.5715,0.8535,0.0686,0.7447,0.7452,1.0000,0.1772,0.7702,0.5194,0.8933
ResNet50,SVM_linear_C0.1,PCA10,0.7125,0.3793,0.9020,0.4889,0.7228,11,46,5,18,0.6240,0.8010,0.0931,0.6802,0.7848,1.0000,0.2150,0.7045,0.6230,0.8327
DenseNet121,LDA,ANOVA100_PCA10,0.7125,0.3793,0.9020,0.4889,0.7011,11,46,5,18,0.6431,0.7819,0.1108,0.6492,0.7848,1.0000,0.2257,0.6898,0.4713,0.8662
DenseNet121,SVM_linear_C1,ANOVA200_PCA10,0.7125,0.2414,0.9804,0.3784,0.6613,7,50,1,22,0.6431,0.7819,0.0482,0.4184,0.9313,1.0000,0.0838,0.6305,0.5049,0.8448
DenseNet121,GBM_100,ANOVA10,0.7000,0.5517,0.7843,0.5714,0.7055,16,40,11,13,0.5725,0.8275,0.2939,0.7994,0.5850,0.9859,0.3549,0.7695,0.5283,0.8465
ResNet50,SVM_C1,ANOVA200_PCA10,0.7000,0.5172,0.8039,0.5556,0.7336,15,41,10,14,0.6351,0.7649,0.2605,0.7795,0.5456,1.0000,0.4798,0.6066,0.6404,0.9348
ResNet50,SVM_C1,ANOVA200_PCA5,0.7000,0.4828,0.8235,0.5385,0.7390,14,42,9,15,0.6351,0.7649,0.2066,0.7668,0.6086,1.0000,0.4025,0.6424,0.6520,0.9517
DenseNet121,LogReg_C0.1,PCA10,0.7000,0.4828,0.8235,0.5385,0.7187,14,42,9,15,0.5318,0.8682,0.1132,0.8334,0.6981,0.9528,0.1653,0.8479,0.5365,0.8841
DenseNet121,GBM_200,ANOVA20,0.7000,0.4828,0.8235,0.5385,0.7045,14,42,9,15,0.6150,0.7850,0.0889,0.8711,0.6708,0.9801,0.1137,0.8387,0.5790,0.8355
ResNet50,AdaBoost_100,ANOVA10,0.7000,0.4828,0.8235,0.5385,0.6673,14,42,9,15,0.5318,0.8682,0.2657,0.6943,0.6581,0.9855,0.3103,0.7649,0.5594,0.8024
ResNet50,RF_100,ANOVA100_PCA5,0.7000,0.4828,0.8235,0.5385,0.6552,14,42,9,15,0.5849,0.8151,0.2151,0.7716,0.6981,0.9528,0.3033,0.7553,0.5425,0.7754
ResNet50,SVM_linear_C0.1,ANOVA20,0.7000,0.4483,0.8431,0.5200,0.6653,13,43,8,16,0.5507,0.8493,0.1389,0.7545,0.6739,1.0000,0.2364,0.7567,0.4757,0.8770
DenseNet121,RF_100,ANOVA10,0.7000,0.4138,0.8627,0.5000,0.7326,12,44,7,17,0.6150,0.7850,0.1818,0.6449,0.7247,1.0000,0.2797,0.6887,0.5723,0.9456
DenseNet121,SVM_C0.1,ANOVA100_PCA10,0.7000,0.4138,0.8627,0.5000,0.6748,12,44,7,17,0.6351,0.7649,0.1020,0.7114,0.6577,1.0000,0.2865,0.6580,0.6033,0.8676
DenseNet121,SVM_linear_C0.1,ANOVA20,0.7000,0.3793,0.8824,0.4783,0.7539,11,45,6,18,0.5988,0.8012,0.0736,0.6864,0.8248,0.9388,0.1171,0.7673,0.6561,0.8536
ResNet50,SVM_linear_C0.1,ANOVA100_PCA5,0.7000,0.3793,0.8824,0.4783,0.7390,11,45,6,18,0.5725,0.8275,0.2146,0.5320,0.7249,1.0000,0.2646,0.6875,0.5949,0.8979
DenseNet121,RF_100,ANOVA20,0.7000,0.3793,0.8824,0.4783,0.7001,11,45,6,18,0.5988,0.8012,0.0736,0.6864,0.8248,0.9388,0.1171,0.7673,0.5444,0.8126
DenseNet121,SVM_C0.1,PCA10,0.7000,0.3793,0.8824,0.4783,0.6924,11,45,6,18,0.6351,0.7649,0.1575,0.5892,0.7249,1.0000,0.2958,0.6282,0.6196,0.8907
ResNet50,SVM_linear_C0.1,ANOVA200_PCA10,0.7000,0.3793,0.8824,0.4783,0.6836,11,45,6,18,0.5849,0.8151,0.0931,0.6802,0.7249,1.0000,0.2035,0.7014,0.5647,0.8511
ResNet50,SVM_linear_C1,ANOVA100_PCA5,0.7000,0.2759,0.9412,0.4000,0.7295,8,48,3,21,0.5988,0.8012,0.0944,0.4523,0.8413,1.0000,0.1592,0.6217,0.5778,0.9004
ResNet50,SVM_C0.1,ANOVA100_PCA5,0.6875,0.5517,0.7647,0.5614,0.7485,16,39,12,13,0.5423,0.8327,0.3406,0.7528,0.4814,1.0000,0.4091,0.7188,0.6722,0.9538
DenseNet121,LogReg_C10,ANOVA200_PCA5,0.6875,0.5517,0.7647,0.5614,0.6991,16,39,12,13,0.6099,0.7651,0.2939,0.7994,0.6020,0.9289,0.3955,0.6963,0.5495,0.8657
DenseNet121,LogReg_C10,ANOVA100_PCA5,0.6875,0.5517,0.7647,0.5614,0.6978,16,39,12,13,0.6099,0.7651,0.2939,0.7994,0.6020,0.9289,0.3955,0.6963,0.5391,0.8488
ResNet50,SVM_C1,ANOVA20,0.6875,0.5517,0.7647,0.5614,0.6849,16,39,12,13,0.5925,0.7825,0.2455,0.8611,0.5177,1.0000,0.3470,0.7301,0.6023,0.8117
ResNet50,GBM_200,ANOVA10,0.6875,0.5172,0.7843,0.5455,0.6214,15,40,11,14,0.5229,0.8521,0.2605,0.7795,0.5578,1.0000,0.2945,0.7806,0.4307,0.8535
DenseNet121,LogReg_C0.1,ANOVA100_PCA10,0.6875,0.4828,0.8039,0.5283,0.7356,14,41,10,15,0.5055,0.8695,0.1481,0.8119,0.6353,0.9756,0.1841,0.8311,0.5513,0.8984
ResNet50,SVM_C1,ANOVA100_PCA5,0.6875,0.4828,0.8039,0.5283,0.7248,14,41,10,15,0.5778,0.7972,0.1706,0.8027,0.5772,1.0000,0.2888,0.7225,0.6218,0.9345
ResNet50,SVM_C1,ANOVA10,0.6875,0.4828,0.8039,0.5283,0.7201,14,41,10,15,0.5925,0.7825,0.1706,0.8027,0.6512,0.9560,0.2845,0.7191,0.6333,0.8188
ResNet50,GBM_100,ANOVA10,0.6875,0.4828,0.8039,0.5283,0.6247,14,41,10,15,0.4896,0.8854,0.2205,0.7395,0.5229,1.0000,0.2622,0.7796,0.4371,0.8465
ResNet50,GBM_200,PCA10,0.6875,0.4483,0.8235,0.5098,0.7126,13,42,9,16,0.5778,0.7972,0.2006,0.7061,0.7333,0.9176,0.2680,0.7259,0.5856,0.8301
DenseNet121,SVM_C1,ANOVA20,0.6875,0.4138,0.8431,0.4898,0.7498,12,43,8,17,0.6099,0.7651,0.0686,0.7447,0.7347,0.9526,0.1940,0.7095,0.7311,0.8071
ResNet50,SVM_C1,PCA5,0.6875,0.4138,0.8431,0.4898,0.7201,12,43,8,17,0.6326,0.7424,0.1020,0.7114,0.6566,1.0000,0.2760,0.6462,0.6633,0.8652
DenseNet121,LDA,PCA5,0.6875,0.4138,0.8431,0.4898,0.7153,12,43,8,17,0.5925,0.7825,0.1818,0.6449,0.7347,0.9526,0.2725,0.6790,0.6179,0.8396
ResNet50,RF_100,PCA10,0.6875,0.3793,0.8627,0.4681,0.7556,11,44,7,18,0.5648,0.8102,0.0630,0.7237,0.7560,0.9713,0.1853,0.7127,0.6802,0.8228
DenseNet121,SVM_C1,ANOVA100_PCA5,0.6875,0.3448,0.8824,0.4444,0.6761,10,45,6,19,0.5925,0.7825,0.0000,0.7205,0.7249,1.0000,0.0585,0.7193,0.5939,0.8479
ResNet50,RF_100,ANOVA100_PCA10,0.6875,0.3448,0.8824,0.4444,0.6582,10,45,6,19,0.5648,0.8102,0.1109,0.5957,0.7771,0.9865,0.1968,0.6770,0.5186,0.8290
ResNet50,SVM_linear_C0.1,ANOVA200_PCA5,0.6875,0.3103,0.9020,0.4186,0.7370,9,46,5,20,0.6099,0.7651,0.1427,0.4707,0.7848,1.0000,0.2258,0.5885,0.6261,0.8848
ResNet50,SVM_linear_C1,ANOVA200_PCA5,0.6875,0.2759,0.9216,0.3902,0.7350,8,47,4,21,0.5648,0.8102,0.0307,0.5026,0.7936,1.0000,0.0602,0.6808,0.5438,0.9186
ResNet50,SVM_linear_C1,ANOVA10,0.6875,0.2414,0.9412,0.3590,0.6741,7,48,3,22,0.6326,0.7424,0.0070,0.4730,0.8757,1.0000,0.0465,0.5998,0.4894,0.8536
DenseNet121,SVM_linear_C1,PCA10,0.6875,0.2069,0.9608,0.3243,0.6511,6,49,2,23,0.6326,0.7424,0.1169,0.2964,0.8627,1.0000,0.1960,0.4469,0.4794,0.7915
DenseNet121,SVM_linear_C1,ANOVA100_PCA10,0.6875,0.1724,0.9804,0.2857,0.6957,5,50,1,24,0.6326,0.7424,0.0203,0.3130,0.9313,1.0000,0.0506,0.4923,0.5791,0.7773
ResNet50,SVM_linear_C1,ANOVA100_PCA10,0.6875,0.1724,0.9804,0.2857,0.6883,5,50,1,24,0.5925,0.7825,0.0000,0.4201,0.9245,1.0000,0.0000,0.5802,0.6095,0.8208
ResNet50,LogReg_C10,PCA10,0.6750,0.6207,0.7059,0.5806,0.6640,18,36,15,11,0.5900,0.7600,0.4680,0.7854,0.5633,0.8513,0.4978,0.6652,0.5286,0.7526
ResNet50,GBM_200,ANOVA20,0.6750,0.6207,0.7059,0.5806,0.6484,18,36,15,11,0.4897,0.8603,0.4680,0.7854,0.4523,0.9550,0.4395,0.7467,0.5044,0.8084
ResNet50,LDA,ANOVA10,0.6750,0.5517,0.7451,0.5517,0.7201,16,38,13,13,0.5362,0.8138,0.1887,0.9046,0.5392,0.9517,0.2462,0.7971,0.5482,0.8906
DenseNet121,GBM_100,ANOVA200_PCA5,0.6750,0.5172,0.7647,0.5357,0.6728,15,39,12,14,0.5257,0.8243,0.1973,0.8294,0.5632,0.9750,0.2525,0.7695,0.4585,0.9293
