model,classifier,fs_config,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN
InceptionV3,SVM_C0.01,ANOVA20,0.6375,0.0000,1.0000,0.0000,0.6153,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA20,0.6375,0.0000,1.0000,0.0000,0.6153,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA100_PCA15,0.6375,0.0000,1.0000,0.0000,0.6146,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA100_PCA15,0.6375,0.0000,1.0000,0.0000,0.6146,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA100_PCA30,0.6375,0.0000,1.0000,0.0000,0.6146,0,51,0,29
ResNet50,SVM_C0.01,ANOVA200_PCA5,0.6375,0.0000,1.0000,0.0000,0.6146,0,51,0,29
ResNet50,SVM_C0.05,ANOVA200_PCA5,0.6375,0.0000,1.0000,0.0000,0.6146,0,51,0,29
DenseNet121,SVM_C0.01,ANOVA100_PCA5,0.6375,0.0000,1.0000,0.0000,0.6126,0,51,0,29
DenseNet121,SVM_C0.05,ANOVA100_PCA5,0.6375,0.0000,1.0000,0.0000,0.6126,0,51,0,29
ResNet50,SVM_C0.01,ANOVA50_PCA20,0.6375,0.0000,1.0000,0.0000,0.6119,0,51,0,29
ResNet50,SVM_C0.05,ANOVA50_PCA20,0.6375,0.0000,1.0000,0.0000,0.6119,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA200,0.6375,0.0000,1.0000,0.0000,0.6112,0,51,0,29
ResNet50,SVM_C0.01,PCA20,0.6375,0.0000,1.0000,0.0000,0.6112,0,51,0,29
ResNet50,SVM_C0.05,PCA20,0.6375,0.0000,1.0000,0.0000,0.6112,0,51,0,29
ResNet50,SVM_C0.1,PCA20,0.6375,0.0000,1.0000,0.0000,0.6112,0,51,0,29
ResNet50,SVM_C0.01,ANOVA50_PCA15,0.6375,0.0000,1.0000,0.0000,0.6099,0,51,0,29
ResNet50,SVM_C0.01,PCA10,0.6375,0.0000,1.0000,0.0000,0.6099,0,51,0,29
ResNet50,SVM_C0.05,ANOVA50_PCA15,0.6375,0.0000,1.0000,0.0000,0.6099,0,51,0,29
ResNet50,SVM_C0.05,PCA10,0.6375,0.0000,1.0000,0.0000,0.6099,0,51,0,29
ResNet50,SVM_C0.1,PCA10,0.6375,0.0000,1.0000,0.0000,0.6099,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA200,0.6375,0.0000,1.0000,0.0000,0.6092,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.6092,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.6092,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA200_PCA20,0.6375,0.0000,1.0000,0.0000,0.6085,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA200_PCA20,0.6375,0.0000,1.0000,0.0000,0.6085,0,51,0,29
ResNet50,SVM_C0.01,ANOVA50_PCA30,0.6375,0.0000,1.0000,0.0000,0.6085,0,51,0,29
ResNet50,SVM_C0.05,ANOVA50_PCA30,0.6375,0.0000,1.0000,0.0000,0.6085,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA100_PCA10,0.6375,0.0000,1.0000,0.0000,0.6085,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA100_PCA10,0.6375,0.0000,1.0000,0.0000,0.6085,0,51,0,29
ResNet50,SVM_C0.01,ANOVA50,0.6375,0.0000,1.0000,0.0000,0.6078,0,51,0,29
ResNet50,SVM_C0.05,ANOVA50,0.6375,0.0000,1.0000,0.0000,0.6078,0,51,0,29
ResNet50,SVM_C0.05,PCA15,0.6375,0.0000,1.0000,0.0000,0.6078,0,51,0,29
ResNet50,SVM_C0.1,PCA15,0.6375,0.0000,1.0000,0.0000,0.6078,0,51,0,29
ResNet50,SVM_C0.01,PCA15,0.6375,0.0000,1.0000,0.0000,0.6072,0,51,0,29
ResNet50,SVM_C0.01,ANOVA50_PCA5,0.6375,0.0000,1.0000,0.0000,0.6065,0,51,0,29
ResNet50,SVM_C0.05,ANOVA50_PCA5,0.6375,0.0000,1.0000,0.0000,0.6065,0,51,0,29
DenseNet121,SVM_C0.01,ANOVA200_PCA10,0.6375,0.0000,1.0000,0.0000,0.6058,0,51,0,29
DenseNet121,SVM_C0.05,ANOVA200_PCA10,0.6375,0.0000,1.0000,0.0000,0.6058,0,51,0,29
DenseNet121,SVM_C0.1,ANOVA200_PCA10,0.6375,0.0000,1.0000,0.0000,0.6058,0,51,0,29
InceptionV3,SVM_C0.05,PCA20,0.6375,0.0000,1.0000,0.0000,0.6051,0,51,0,29
InceptionV3,SVM_C0.1,PCA20,0.6375,0.0000,1.0000,0.0000,0.6051,0,51,0,29
DenseNet121,SVM_C0.01,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.6045,0,51,0,29
DenseNet121,SVM_C0.05,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.6045,0,51,0,29
DenseNet121,SVM_C0.1,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.6045,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA50_PCA10,0.6375,0.0000,1.0000,0.0000,0.6045,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA50_PCA10,0.6375,0.0000,1.0000,0.0000,0.6045,0,51,0,29
DenseNet121,SVM_C0.01,ANOVA200,0.6375,0.0000,1.0000,0.0000,0.6031,0,51,0,29
DenseNet121,SVM_C0.05,ANOVA200,0.6375,0.0000,1.0000,0.0000,0.6031,0,51,0,29
DenseNet121,SVM_C0.1,ANOVA200,0.6375,0.0000,1.0000,0.0000,0.6031,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA100_PCA5,0.6375,0.0000,1.0000,0.0000,0.6024,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA100_PCA5,0.6375,0.0000,1.0000,0.0000,0.6024,0,51,0,29
InceptionV3,SVM_C0.05,PCA30,0.6375,0.0000,1.0000,0.0000,0.6024,0,51,0,29
InceptionV3,SVM_C0.1,PCA30,0.6375,0.0000,1.0000,0.0000,0.6024,0,51,0,29
DenseNet121,SVM_C0.01,ANOVA200_PCA15,0.6375,0.0000,1.0000,0.0000,0.6024,0,51,0,29
DenseNet121,SVM_C0.05,ANOVA200_PCA15,0.6375,0.0000,1.0000,0.0000,0.6024,0,51,0,29
DenseNet121,SVM_C0.1,ANOVA200_PCA15,0.6375,0.0000,1.0000,0.0000,0.6024,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA200_PCA15,0.6375,0.0000,1.0000,0.0000,0.6018,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA200_PCA15,0.6375,0.0000,1.0000,0.0000,0.6018,0,51,0,29
InceptionV3,SVM_C0.01,PCA50,0.6375,0.0000,1.0000,0.0000,0.6018,0,51,0,29
ResNet50,SVM_C0.01,PCA30,0.6375,0.0000,1.0000,0.0000,0.6018,0,51,0,29
ResNet50,SVM_C0.05,PCA30,0.6375,0.0000,1.0000,0.0000,0.6018,0,51,0,29
ResNet50,SVM_C0.1,PCA30,0.6375,0.0000,1.0000,0.0000,0.6018,0,51,0,29
DenseNet121,SVM_C0.01,ANOVA200_PCA20,0.6375,0.0000,1.0000,0.0000,0.6011,0,51,0,29
DenseNet121,SVM_C0.05,ANOVA200_PCA20,0.6375,0.0000,1.0000,0.0000,0.6011,0,51,0,29
DenseNet121,SVM_C0.1,ANOVA200_PCA20,0.6375,0.0000,1.0000,0.0000,0.6011,0,51,0,29
InceptionV3,SVM_C0.01,PCA30,0.6375,0.0000,1.0000,0.0000,0.6011,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA50,0.6375,0.0000,1.0000,0.0000,0.6004,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA50,0.6375,0.0000,1.0000,0.0000,0.6004,0,51,0,29
InceptionV3,SVM_C0.05,PCA50,0.6375,0.0000,1.0000,0.0000,0.6004,0,51,0,29
InceptionV3,SVM_C0.1,PCA50,0.6375,0.0000,1.0000,0.0000,0.6004,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA50_PCA5,0.6375,0.0000,1.0000,0.0000,0.6004,0,51,0,29
InceptionV3,SVM_C0.01,PCA20,0.6375,0.0000,1.0000,0.0000,0.5997,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA50_PCA5,0.6375,0.0000,1.0000,0.0000,0.5997,0,51,0,29
ResNet50,SVM_C0.01,PCA50,0.6375,0.0000,1.0000,0.0000,0.5997,0,51,0,29
ResNet50,SVM_C0.05,PCA50,0.6375,0.0000,1.0000,0.0000,0.5997,0,51,0,29
ResNet50,SVM_C0.1,PCA50,0.6375,0.0000,1.0000,0.0000,0.5997,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA200_PCA5,0.6375,0.0000,1.0000,0.0000,0.5991,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA50_PCA20,0.6375,0.0000,1.0000,0.0000,0.5991,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA200_PCA10,0.6375,0.0000,1.0000,0.0000,0.5991,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA50_PCA20,0.6375,0.0000,1.0000,0.0000,0.5991,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA50_PCA30,0.6375,0.0000,1.0000,0.0000,0.5991,0,51,0,29
ResNet50,SVM_C0.01,ANOVA50_PCA10,0.6375,0.0000,1.0000,0.0000,0.5991,0,51,0,29
ResNet50,SVM_C0.05,ANOVA50_PCA10,0.6375,0.0000,1.0000,0.0000,0.5991,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA200_PCA10,0.6375,0.0000,1.0000,0.0000,0.5977,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA50_PCA30,0.6375,0.0000,1.0000,0.0000,0.5977,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA200_PCA5,0.6375,0.0000,1.0000,0.0000,0.5977,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA50_PCA15,0.6375,0.0000,1.0000,0.0000,0.5970,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA50_PCA15,0.6375,0.0000,1.0000,0.0000,0.5970,0,51,0,29
DenseNet121,SVM_C0.01,ANOVA200_PCA5,0.6375,0.0000,1.0000,0.0000,0.5909,0,51,0,29
DenseNet121,SVM_C0.05,ANOVA200_PCA5,0.6375,0.0000,1.0000,0.0000,0.5909,0,51,0,29
DenseNet121,SVM_C0.1,ANOVA200_PCA5,0.6375,0.0000,1.0000,0.0000,0.5909,0,51,0,29
InceptionV3,SVM_C0.01,PCA5,0.6375,0.0000,1.0000,0.0000,0.5909,0,51,0,29
InceptionV3,SVM_C0.05,PCA5,0.6375,0.0000,1.0000,0.0000,0.5869,0,51,0,29
InceptionV3,SVM_C0.1,PCA5,0.6375,0.0000,1.0000,0.0000,0.5869,0,51,0,29
InceptionV3,SVM_C0.01,ANOVA10,0.6375,0.0000,1.0000,0.0000,0.5855,0,51,0,29
InceptionV3,SVM_C0.05,ANOVA10,0.6375,0.0000,1.0000,0.0000,0.5855,0,51,0,29
InceptionV3,SVM_C0.01,PCA10,0.6375,0.0000,1.0000,0.0000,0.5754,0,51,0,29
InceptionV3,SVM_C0.05,PCA10,0.6375,0.0000,1.0000,0.0000,0.5754,0,51,0,29
InceptionV3,SVM_C0.1,PCA10,0.6375,0.0000,1.0000,0.0000,0.5754,0,51,0,29
InceptionV3,SVM_C0.01,PCA15,0.6375,0.0000,1.0000,0.0000,0.5531,0,51,0,29
InceptionV3,SVM_C0.05,PCA15,0.6375,0.0000,1.0000,0.0000,0.5517,0,51,0,29
InceptionV3,SVM_C0.1,PCA15,0.6375,0.0000,1.0000,0.0000,0.5517,0,51,0,29
DenseNet121,SVM_C0.01,PCA5,0.6375,0.0000,1.0000,0.0000,0.5355,0,51,0,29
DenseNet121,SVM_C0.05,PCA5,0.6375,0.0000,1.0000,0.0000,0.5355,0,51,0,29
DenseNet121,SVM_C0.1,PCA5,0.6375,0.0000,1.0000,0.0000,0.5355,0,51,0,29
DenseNet121,QDA,ANOVA100_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
DenseNet121,QDA,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
DenseNet121,QDA,ANOVA50_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
DenseNet121,QDA,PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
InceptionV3,QDA,ANOVA100_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
InceptionV3,QDA,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
InceptionV3,QDA,ANOVA50_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
InceptionV3,QDA,PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
ResNet50,QDA,ANOVA100_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
ResNet50,QDA,ANOVA200_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
ResNet50,QDA,ANOVA50_PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
ResNet50,QDA,PCA30,0.6375,0.0000,1.0000,0.0000,0.5000,0,51,0,29
ResNet50,SVM_C0.01,PCA5,0.6375,0.0000,1.0000,0.0000,0.4807,0,51,0,29
ResNet50,SVM_C0.05,PCA5,0.6375,0.0000,1.0000,0.0000,0.4807,0,51,0,29
InceptionV3,QDA,ANOVA200,0.6250,0.7241,0.5686,0.5833,0.6464,21,29,22,8
ResNet50,SGD_hinge,ANOVA200_PCA10,0.6250,0.6552,0.6078,0.5588,0.6362,19,31,20,10
DenseNet121,SGD_modified_huber,ANOVA50_PCA10,0.6250,0.6552,0.6078,0.5588,0.6315,19,31,20,10
InceptionV3,SGD_modified_huber,ANOVA100,0.6250,0.6552,0.6078,0.5588,0.6315,19,31,20,10
ResNet50,SGD_perceptron,ANOVA200_PCA10,0.6250,0.6552,0.6078,0.5588,0.6288,19,31,20,10
ResNet50,SGD_log,ANOVA50_PCA10,0.6250,0.6552,0.6078,0.5588,0.5622,19,31,20,10
InceptionV3,SGD_hinge,ANOVA50_PCA30,0.6250,0.6207,0.6275,0.5455,0.6464,18,32,19,11
ResNet50,LogReg_C10,ANOVA200_PCA5,0.6250,0.6207,0.6275,0.5455,0.6268,18,32,19,11
ResNet50,SGD_modified_huber,ANOVA200_PCA5,0.6250,0.6207,0.6275,0.5455,0.6241,18,32,19,11
InceptionV3,SGD_perceptron,ANOVA100,0.6250,0.6207,0.6275,0.5455,0.6214,18,32,19,11
InceptionV3,SGD_log,ANOVA200,0.6250,0.6207,0.6275,0.5455,0.6034,18,32,19,11
DenseNet121,SGD_perceptron,PCA50,0.6250,0.5862,0.6471,0.5312,0.6829,17,33,18,12
InceptionV3,SGD_hinge,ANOVA50,0.6250,0.5862,0.6471,0.5312,0.6721,17,33,18,12
InceptionV3,SGD_perceptron,ANOVA50_PCA20,0.6250,0.5862,0.6471,0.5312,0.6430,17,33,18,12
InceptionV3,SGD_log,ANOVA50_PCA30,0.6250,0.5862,0.6471,0.5312,0.6423,17,33,18,12
ResNet50,LogReg_C1,ANOVA10,0.6250,0.5862,0.6471,0.5312,0.6234,17,33,18,12
DenseNet121,SGD_modified_huber,ANOVA200_PCA15,0.6250,0.5862,0.6471,0.5312,0.6166,17,33,18,12
ResNet50,SGD_modified_huber,ANOVA200,0.6250,0.5862,0.6471,0.5312,0.6166,17,33,18,12
ResNet50,LogReg_elasticnet_C0.1,ANOVA200_PCA10,0.6250,0.5862,0.6471,0.5312,0.6126,17,33,18,12
DenseNet121,SGD_hinge,PCA50,0.6250,0.5517,0.6667,0.5161,0.6768,16,34,17,13
InceptionV3,LogReg_C10,ANOVA100_PCA20,0.6250,0.5517,0.6667,0.5161,0.6403,16,34,17,13
InceptionV3,MLP_64_tanh,ANOVA20,0.6250,0.5517,0.6667,0.5161,0.6251,16,34,17,13
ResNet50,SVM_C10,ANOVA50_PCA5,0.6250,0.5517,0.6667,0.5161,0.6153,16,34,17,13
ResNet50,Ridge,ANOVA100_PCA10,0.6250,0.5517,0.6667,0.5161,0.6112,16,34,17,13
ResNet50,Ridge_0.1,ANOVA100_PCA10,0.6250,0.5517,0.6667,0.5161,0.6112,16,34,17,13
DenseNet121,SGD_perceptron,ANOVA50_PCA15,0.6250,0.5517,0.6667,0.5161,0.6085,16,34,17,13
ResNet50,Ridge_10,ANOVA50_PCA5,0.6250,0.5517,0.6667,0.5161,0.6011,16,34,17,13
ResNet50,Ridge,ANOVA50_PCA5,0.6250,0.5517,0.6667,0.5161,0.5984,16,34,17,13
ResNet50,Ridge_0.1,ANOVA50_PCA5,0.6250,0.5517,0.6667,0.5161,0.5977,16,34,17,13
ResNet50,LogReg_l1_C1,ANOVA100_PCA10,0.6250,0.5517,0.6667,0.5161,0.5916,16,34,17,13
ResNet50,GBM_100,ANOVA50_PCA30,0.6250,0.5517,0.6667,0.5161,0.5720,16,34,17,13
ResNet50,MLP_64_tanh,ANOVA100,0.6250,0.5517,0.6667,0.5161,0.5490,16,34,17,13
DenseNet121,Ridge_10,PCA50,0.6250,0.5172,0.6863,0.5000,0.6572,15,35,16,14
InceptionV3,SGD_hinge,ANOVA20,0.6250,0.5172,0.6863,0.5000,0.6450,15,35,16,14
DenseNet121,MLP_128_64,ANOVA200_PCA5,0.6250,0.5172,0.6863,0.5000,0.6447,15,35,16,14
DenseNet121,LogReg_l1_C1,ANOVA200_PCA5,0.6250,0.5172,0.6863,0.5000,0.6403,15,35,16,14
DenseNet121,AdaBoost_100,ANOVA200_PCA5,0.6250,0.5172,0.6863,0.5000,0.6393,15,35,16,14
DenseNet121,SGD_hinge,ANOVA50_PCA20,0.6250,0.5172,0.6863,0.5000,0.6315,15,35,16,14
InceptionV3,SGD_hinge,ANOVA200_PCA30,0.6250,0.5172,0.6863,0.5000,0.6295,15,35,16,14
InceptionV3,QDA,ANOVA100_PCA15,0.6250,0.5172,0.6863,0.5000,0.6241,15,35,16,14
DenseNet121,SVM_linear_C0.1,ANOVA200_PCA5,0.6250,0.5172,0.6863,0.5000,0.6220,15,35,16,14
DenseNet121,GBM_200,ANOVA200_PCA30,0.6250,0.5172,0.6863,0.5000,0.6166,15,35,16,14
ResNet50,LogReg_l1_C0.1,PCA15,0.6250,0.5172,0.6863,0.5000,0.6139,15,35,16,14
DenseNet121,SGD_modified_huber,ANOVA50,0.6250,0.5172,0.6863,0.5000,0.6136,15,35,16,14
InceptionV3,SVM_linear_C1,ANOVA100_PCA20,0.6250,0.5172,0.6863,0.5000,0.6105,15,35,16,14
InceptionV3,LogReg_C10,ANOVA100_PCA30,0.6250,0.5172,0.6863,0.5000,0.6058,15,35,16,14
ResNet50,GaussianNB,ANOVA20,0.6250,0.5172,0.6863,0.5000,0.6031,15,35,16,14
InceptionV3,LogReg_C10,ANOVA50_PCA20,0.6250,0.5172,0.6863,0.5000,0.5997,15,35,16,14
DenseNet121,LogReg_C10,PCA15,0.6250,0.5172,0.6863,0.5000,0.5963,15,35,16,14
InceptionV3,SGD_log,ANOVA100_PCA10,0.6250,0.5172,0.6863,0.5000,0.5923,15,35,16,14
ResNet50,MLP_64,ANOVA50_PCA15,0.6250,0.5172,0.6863,0.5000,0.5896,15,35,16,14
InceptionV3,LogReg_l1_C1,ANOVA100_PCA30,0.6250,0.5172,0.6863,0.5000,0.5869,15,35,16,14
ResNet50,MLP_64_reg,ANOVA50_PCA15,0.6250,0.5172,0.6863,0.5000,0.5835,15,35,16,14
ResNet50,MLP_32,ANOVA100,0.6250,0.5172,0.6863,0.5000,0.5761,15,35,16,14
ResNet50,LogReg_elasticnet_C0.1,ANOVA200_PCA20,0.6250,0.5172,0.6863,0.5000,0.5666,15,35,16,14
ResNet50,MLP_32,ANOVA50_PCA30,0.6250,0.5172,0.6863,0.5000,0.5538,15,35,16,14
ResNet50,MLP_64,ANOVA100,0.6250,0.5172,0.6863,0.5000,0.5456,15,35,16,14
DenseNet121,LogReg_elasticnet_C0.1,PCA15,0.6250,0.4828,0.7059,0.4828,0.6633,14,36,15,15
DenseNet121,Ridge,PCA50,0.6250,0.4828,0.7059,0.4828,0.6545,14,36,15,15
DenseNet121,SGD_perceptron,PCA15,0.6250,0.4828,0.7059,0.4828,0.6450,14,36,15,15
DenseNet121,SGD_log,PCA50,0.6250,0.4828,0.7059,0.4828,0.6396,14,36,15,15
DenseNet121,SVM_linear_C0.1,ANOVA100_PCA5,0.6250,0.4828,0.7059,0.4828,0.6335,14,36,15,15
DenseNet121,LogReg_C0.1,ANOVA200_PCA5,0.6250,0.4828,0.7059,0.4828,0.6322,14,36,15,15
DenseNet121,SVM_linear_C1,ANOVA50_PCA30,0.6250,0.4828,0.7059,0.4828,0.6315,14,36,15,15
InceptionV3,MLP_32_16,ANOVA50_PCA5,0.6250,0.4828,0.7059,0.4828,0.6302,14,36,15,15
ResNet50,SVM_C0.5,ANOVA50_PCA30,0.6250,0.4828,0.7059,0.4828,0.6295,14,36,15,15
InceptionV3,LogReg_C0.1,ANOVA100_PCA20,0.6250,0.4828,0.7059,0.4828,0.6288,14,36,15,15
ResNet50,SVM_C0.5,ANOVA50,0.6250,0.4828,0.7059,0.4828,0.6288,14,36,15,15
ResNet50,PassiveAggressive,PCA50,0.6250,0.4828,0.7059,0.4828,0.6220,14,36,15,15
InceptionV3,MLP_32_16,ANOVA50_PCA20,0.6250,0.4828,0.7059,0.4828,0.6214,14,36,15,15
InceptionV3,LogReg_l1_C1,ANOVA100_PCA20,0.6250,0.4828,0.7059,0.4828,0.6112,14,36,15,15
InceptionV3,MLP_32,ANOVA50_PCA20,0.6250,0.4828,0.7059,0.4828,0.6099,14,36,15,15
DenseNet121,SVM_linear_C1,ANOVA100_PCA20,0.6250,0.4828,0.7059,0.4828,0.6085,14,36,15,15
InceptionV3,LogReg_C10,ANOVA200_PCA5,0.6250,0.4828,0.7059,0.4828,0.6065,14,36,15,15
InceptionV3,SVM_linear_C1,ANOVA200,0.6250,0.4828,0.7059,0.4828,0.6038,14,36,15,15
DenseNet121,SGD_log,ANOVA50,0.6250,0.4828,0.7059,0.4828,0.6034,14,36,15,15
InceptionV3,LogReg_l1_C1,ANOVA100_PCA15,0.6250,0.4828,0.7059,0.4828,0.6004,14,36,15,15
ResNet50,MLP_64,ANOVA50_PCA10,0.6250,0.4828,0.7059,0.4828,0.5977,14,36,15,15
InceptionV3,LogReg_l1_C1,ANOVA200_PCA10,0.6250,0.4828,0.7059,0.4828,0.5957,14,36,15,15
InceptionV3,SGD_modified_huber,ANOVA200_PCA10,0.6250,0.4828,0.7059,0.4828,0.5943,14,36,15,15
InceptionV3,GBM_200,ANOVA200_PCA10,0.6250,0.4828,0.7059,0.4828,0.5923,14,36,15,15
InceptionV3,MLP_64,ANOVA50_PCA20,0.6250,0.4828,0.7059,0.4828,0.5923,14,36,15,15
ResNet50,MLP_64_tanh,ANOVA100_PCA15,0.6250,0.4828,0.7059,0.4828,0.5767,14,36,15,15
InceptionV3,Ridge,ANOVA200_PCA30,0.6250,0.4828,0.7059,0.4828,0.5646,14,36,15,15
ResNet50,LogReg_l1_C0.1,ANOVA200_PCA15,0.6250,0.4828,0.7059,0.4828,0.5646,14,36,15,15
ResNet50,MLP_32,ANOVA50,0.6250,0.4828,0.7059,0.4828,0.5578,14,36,15,15
ResNet50,MLP_64_tanh,ANOVA200,0.6250,0.4828,0.7059,0.4828,0.5483,14,36,15,15
ResNet50,MLP_32_16,ANOVA200_PCA30,0.6250,0.4828,0.7059,0.4828,0.5396,14,36,15,15
ResNet50,MLP_128,ANOVA200,0.6250,0.4828,0.7059,0.4828,0.5375,14,36,15,15
ResNet50,MLP_64_tanh,ANOVA200_PCA30,0.6250,0.4828,0.7059,0.4828,0.5335,14,36,15,15
DenseNet121,SVM_C0.5,ANOVA10,0.6250,0.4483,0.7255,0.4643,0.6626,13,37,14,16
DenseNet121,Ridge,ANOVA100_PCA5,0.6250,0.4483,0.7255,0.4643,0.6592,13,37,14,16
DenseNet121,Ridge_0.1,ANOVA100_PCA5,0.6250,0.4483,0.7255,0.4643,0.6592,13,37,14,16
DenseNet121,Ridge_10,ANOVA100_PCA5,0.6250,0.4483,0.7255,0.4643,0.6545,13,37,14,16
ResNet50,GBM_200,PCA5,0.6250,0.4483,0.7255,0.4643,0.6410,13,37,14,16
ResNet50,SVM_C0.5,ANOVA50_PCA20,0.6250,0.4483,0.7255,0.4643,0.6322,13,37,14,16
DenseNet121,LogReg_l1_C1,ANOVA100_PCA15,0.6250,0.4483,0.7255,0.4643,0.6268,13,37,14,16
InceptionV3,MLP_32,ANOVA100_PCA20,0.6250,0.4483,0.7255,0.4643,0.6261,13,37,14,16
InceptionV3,MLP_32,ANOVA100_PCA30,0.6250,0.4483,0.7255,0.4643,0.6261,13,37,14,16
DenseNet121,LogReg_l1_C1,ANOVA200_PCA20,0.6250,0.4483,0.7255,0.4643,0.6254,13,37,14,16
InceptionV3,AdaBoost_100,ANOVA100_PCA5,0.6250,0.4483,0.7255,0.4643,0.6241,13,37,14,16
DenseNet121,MLP_128_64,ANOVA100_PCA5,0.6250,0.4483,0.7255,0.4643,0.6220,13,37,14,16
DenseNet121,AdaBoost_100,ANOVA20,0.6250,0.4483,0.7255,0.4643,0.6193,13,37,14,16
InceptionV3,MLP_64_tanh,ANOVA100_PCA30,0.6250,0.4483,0.7255,0.4643,0.6173,13,37,14,16
DenseNet121,MLP_64_tanh,ANOVA200_PCA5,0.6250,0.4483,0.7255,0.4643,0.6160,13,37,14,16
InceptionV3,LogReg_l1_C1,ANOVA100,0.6250,0.4483,0.7255,0.4643,0.6160,13,37,14,16
ResNet50,RF_100,ANOVA200_PCA10,0.6250,0.4483,0.7255,0.4643,0.6109,13,37,14,16
InceptionV3,MLP_32_16,ANOVA20,0.6250,0.4483,0.7255,0.4643,0.6105,13,37,14,16
InceptionV3,MLP_128,ANOVA100,0.6250,0.4483,0.7255,0.4643,0.6065,13,37,14,16
InceptionV3,LogReg_C1,ANOVA10,0.6250,0.4483,0.7255,0.4643,0.6058,13,37,14,16
InceptionV3,MLP_64_reg,ANOVA100_PCA30,0.6250,0.4483,0.7255,0.4643,0.6058,13,37,14,16
InceptionV3,LogReg_C0.1,ANOVA200_PCA30,0.6250,0.4483,0.7255,0.4643,0.6051,13,37,14,16
DenseNet121,SGD_perceptron,ANOVA50_PCA20,0.6250,0.4483,0.7255,0.4643,0.6045,13,37,14,16
DenseNet121,MLP_128_64_reg,ANOVA100_PCA5,0.6250,0.4483,0.7255,0.4643,0.6031,13,37,14,16
DenseNet121,LogReg_C10,ANOVA100,0.6250,0.4483,0.7255,0.4643,0.6018,13,37,14,16
InceptionV3,MLP_64,ANOVA100_PCA30,0.6250,0.4483,0.7255,0.4643,0.6018,13,37,14,16
InceptionV3,MLP_128_64,ANOVA10,0.6250,0.4483,0.7255,0.4643,0.6007,13,37,14,16
InceptionV3,SVM_linear_C0.1,ANOVA200,0.6250,0.4483,0.7255,0.4643,0.5984,13,37,14,16
DenseNet121,SGD_perceptron,ANOVA100_PCA15,0.6250,0.4483,0.7255,0.4643,0.5977,13,37,14,16
InceptionV3,LogReg_C0.1,ANOVA50_PCA20,0.6250,0.4483,0.7255,0.4643,0.5977,13,37,14,16
DenseNet121,LogReg_C10,ANOVA100_PCA10,0.6250,0.4483,0.7255,0.4643,0.5889,13,37,14,16
ResNet50,GaussianNB,ANOVA100,0.6250,0.4483,0.7255,0.4643,0.5879,13,37,14,16
